Symptom,Description
large_lymph_node_around_neck,"Large lymph nodes around the neck are noticeably swollen lymph glands in the cervical region."
leg_swelling,"Leg swelling is the enlargement or puffiness of the legs due to fluid retention."
lethargy,"Lethargy is a state of sluggishness, drowsiness, or apathy."
light_sensitivity,"Light sensitivity is discomfort or pain in the eyes when exposed to bright light."
little_pain,"Little pain means a mild or insignificant amount of discomfort."
localized_breast_pain_redness,"Localized breast pain and redness is discomfort and visible redness confined to a specific area of the breast."
long_term_fatigue,"Long-term fatigue is a persistent and debilitating feeling of tiredness that lasts for an extended period."
loose_frequent_bowel_movement,"Loose frequent bowel movement is the passage of soft or watery stools more often than usual."
loose_teeth,"Loose teeth are teeth that are no longer firmly anchored in the gum and bone."
loss_appetite,"Loss of appetite is a decreased desire to eat or a complete lack of hunger."
loss_consciousness_may_sweating,"Loss of consciousness with possible sweating is fainting or passing out, potentially accompanied by perspiration."
loss_hair_part_head_body,"Loss of hair from part of the head or body is a localized reduction or absence of hair growth."
loss_smell,"Loss of smell is the inability to detect odors or a reduced sense of smell."
loss_vision_one_side,"Loss of vision in one side is an impairment of sight affecting only one half of the visual field."
low_blood_pressure,"Low blood pressure is a condition where the force of blood against artery walls is consistently too low."
low_energy,"Low energy is a feeling of reduced vitality or physical and mental sluggishness."
low_red_blood_cell,"Low red blood cell count is a condition where the number of red blood cells in the blood is below normal."
lower_abdominal_pain,"Lower abdominal pain is discomfort or aching sensation in the lower part of the abdomen."
lump_breast,"A lump in the breast is a palpable mass or swelling in the breast tissue."
lump_bump_neck,"A lump or bump on the neck is a palpable mass or swelling on the neck."
maculopapular_rash,"A maculopapular rash is a skin eruption characterized by both flat, discolored spots (macules) and small, raised bumps (papules)."
malabsorption,"Malabsorption is a condition where the intestines have difficulty absorbing nutrients from food."
may_symptom,"May be a symptom refers to a sign or indication that could be related to an underlying condition."
memory_problem,"A memory problem is difficulty recalling information or experiences."
mental_ability,"Mental ability refers to a person's cognitive capacities, such as thinking, learning, and reasoning."
mental_change,"A mental change is any noticeable alteration in a person's thinking, mood, or behavior."
mid_dilated_pupil,"A mid-dilated pupil is a pupil that is enlarged but not fully dilated."
middle_finger,"Middle finger refers to the third digit of the hand, located between the index and ring fingers."
mild_moderate_intellectual_disability,"Mild to moderate intellectual disability refers to a range of intellectual limitations, typically with some functional independence."
minimal,"Minimal means very slight or the least possible amount."
missed_period,"A missed period is when a menstrual period does not occur at its expected time."
mole_increasing_size,"A mole increasing in size is a skin growth that is getting larger over time."
mood_change,"A mood change is any noticeable alteration in a person's emotional state."
mood_swing,"Mood swings are rapid and often unpredictable changes in a person's emotional state."
mouth_sore,"A mouth sore is an open lesion or painful area inside the mouth."
mouth_ulcer,"A mouth ulcer is an open sore or lesion that forms inside the mouth."
multiple_painful_joint,"Multiple painful joints refers to discomfort or aching sensation in several joints."
muscle_ache_difficulty_breathing,"Muscle ache with difficulty breathing is widespread muscle pain accompanied by labored respiration."
muscle_cramp,"A muscle cramp is a sudden, involuntary, and often painful contraction of a muscle."
muscle_joint_pain,"Muscle and joint pain is discomfort or aching sensation in both the muscles and the joints."
muscle_spasm,"A muscle spasm is a sudden, involuntary contraction of a muscle."
muscle_weakness,"Muscle weakness is a lack of muscle strength, making it hard to move or lift objects."
muscle_weakness_beginning_foot_hand,"Muscle weakness beginning in the foot and hand is a progressive loss of strength starting in the extremities."
muscle_weakness_resulting_inability_move,"Muscle weakness resulting in inability to move is a severe reduction in muscle strength leading to paralysis."
muscular_pain,"Muscular pain is discomfort or aching sensation in the muscles."
myalgia,"Myalgia is the medical term for muscle pain."
nausea_vomiting,"Nausea and vomiting are the sensations of sickness with an urge to vomit, followed by the forceful expulsion of stomach contents."
nausea_vomiting_weight_loss_dehydration_occur,"Nausea, vomiting, weight loss, and dehydration occurring together are a set of symptoms indicating significant gastrointestinal distress and fluid loss."
nearly_undetectable_spell,"A nearly undetectable spell refers to a brief period of altered consciousness or symptoms that are very subtle."
nearsightedness,"Nearsightedness is a vision condition where close objects are clear, but distant objects appear blurry."
neck,"Neck refers to the part of the body connecting the head to the torso."
neck_stiffness,"Neck stiffness is a limited range of motion and discomfort when moving the head, often due to muscle strain."
needing_urinate_often,"Needing to urinate often is the frequent urge to empty the bladder."
newly_inverted_nipple,"A newly inverted nipple is a nipple that has recently turned inward or flattened, which was previously everted."
non_itchy_skin_ulcer,"A non-itchy skin ulcer is an open sore on the skin that does not cause an irritating sensation."
non_painful_cyst_middle_eyelid,"A non-painful cyst in the middle of the eyelid is a benign, fluid-filled sac located on the eyelid that does not cause discomfort."
nonaligned_eye,"A nonaligned eye is an eye that does not point in the same direction as the other eye, also known as strabismus."
none_non_specific,"None/non-specific indicates that there are no distinct or particular symptoms, or the symptoms are too general to pinpoint a cause."
numbness,"Numbness is a loss of sensation or feeling in a body part."
object_different_size_eye,"Objects appearing as different sizes in each eye is a visual phenomenon where the perceived size of an object varies between the two eyes."
one_eye_myopia_eye_hyperopia,"One eye with myopia and the other with hyperopia is a condition where one eye is nearsighted and the other is farsighted."
opening_upper_lip_may_extend_nose_palate,"An opening in the upper lip that may extend to the nose and palate is a congenital condition known as a cleft lip or palate."
others,"Others refers to additional symptoms not previously listed."
overlying_redness,"Overlying redness is the presence of visible redness on the skin surface above an affected area."
pain_along_inside_edge_shinbone,"Pain along the inside edge of the shinbone is discomfort or aching felt along the medial aspect of the tibia."
pain_area,"Pain in an area refers to discomfort or aching sensation localized to a specific region of the body."
pain_around_ear,"Pain around the ear is discomfort or aching sensation in the vicinity of the ear."
pain_doesnt_go_shingle,"Pain that doesn't go away with shingles refers to persistent nerve pain that continues after the shingles rash has healed."
pain_going_leg_lower_back,"Pain going down the leg from the lower back is discomfort radiating from the lower back into the leg, often associated with sciatica."
pain_sex,"Pain during sex is discomfort or pain experienced when sexual intercourse."
pain_specific_bone,"Pain in a specific bone is discomfort or aching sensation localized to a particular bone."
painful,"Painful means causing or experiencing pain."
painful_blister_lower_leg,"A painful blister on the lower leg is a fluid-filled sac on the skin of the lower leg that causes discomfort."
painful_heavy_period,"A painful heavy period is menstrual bleeding that is both unusually profuse and accompanied by significant discomfort."
painful_joint_base_big_toe,"Painful joint at the base of the big toe is discomfort or aching sensation at the metatarsophalangeal joint of the great toe."
painful_rash_occurring_stripe,"A painful rash occurring in a stripe is a skin eruption that is painful and appears in a linear pattern, often seen in shingles."
painful_skin,"Painful skin refers to skin that is sensitive or sore to the touch."
painful_swelling_parotid_gland,"Painful swelling of the parotid gland is enlarged and tender salivary glands located in front of the ears."
painful_swollen_joint,"A painful swollen joint is a joint that is both enlarged and causes discomfort."
painful_tender_outer_part_elbow,"Painful tender outer part of the elbow is discomfort and sensitivity to touch on the lateral epicondyle of the elbow."
painless,"Painless means not causing or experiencing pain."
painless_lump,"A painless lump is a palpable mass or swelling that does not cause discomfort."
pale_color,"Pale color refers to a light or whitish hue, often seen in the skin due to reduced blood flow."
pale_skin,"Pale skin is skin that appears unusually light in color, often due to reduced blood flow or anemia."
pallor,"Pallor is an unhealthy pale appearance of the skin."
paralysis,"Paralysis is the loss of the ability to move a body part, usually due to nerve damage."
patch_thick,"A patch of thick skin is an area of skin that is abnormally dense or hardened."
patch_white_skin,"A patch of white skin is an area of skin that has lost its pigmentation and appears lighter than the surrounding skin."
perform_certain_routine_repeatedly,"Performing certain routines repeatedly refers to engaging in repetitive behaviors or rituals."
period_vigorous_shaking,"A period of vigorous shaking is an episode of intense and uncontrolled trembling of the body."
persistent_rough_white_red_patch_mouth_lasting_longer_week,"A persistent rough white or red patch in the mouth lasting longer than a week is an abnormal lesion inside the mouth that does not heal quickly."
photophobia,"Photophobia is discomfort or pain in the eyes when exposed to bright light."
physical_disability,"A physical disability is a limitation on a person's physical functioning, mobility, or dexterity."
pimple_like_rash,"A pimple-like rash is a skin eruption characterized by small, raised bumps resembling pimples."
pinkish,"Pinkish refers to a light red or rose color."
playing_video_game_extremely_long_period_time,"Playing video games for an extremely long period of time refers to engaging in gaming for excessive and prolonged durations."
poor_ability_tolerate_cold,"Poor ability to tolerate cold is an unusual sensitivity to cold temperatures, leading to discomfort or symptoms."
poor_appetite,"Poor appetite is a reduced desire to eat."
poor_coordination,"Poor coordination is difficulty in moving different parts of the body smoothly and efficiently."
poor_tolerance_heat,"Poor tolerance to heat is an unusual sensitivity to high temperatures, leading to discomfort or symptoms."
post_nasal_drip,"Post-nasal drip is the sensation of mucus running down the back of the throat."
problem_language,"A problem with language is difficulty in understanding, speaking, reading, or writing."
problem_mood,"A problem with mood refers to emotional disturbances or dysregulation."
problem_understanding_speaking,"Problems with understanding and speaking refer to difficulties with comprehending language and expressing oneself verbally."
problem_vision,"A problem with vision is any impairment or difficulty with sight."
profuse_sweating,"Profuse sweating is excessive and heavy perspiration."
progressive_muscle_weakness,"Progressive muscle weakness is a gradual and increasing loss of strength in the muscles."
prolonged,"Prolonged means lasting for an unusually long time."
prolonged_cough,"A prolonged cough is a cough that persists for an extended period, typically more than 8 weeks."
prominent,"Prominent means noticeable, easily seen, or projecting beyond the surface."
protein_urine,"Protein in urine is the presence of protein in the urine, which is normally absent or present in very small amounts."
psychosis,"Psychosis is a severe mental disorder characterized by a break from reality, involving hallucinations or delusions."
pulsing_pain,"Pulsing pain is a throbbing or rhythmic sensation of pain."
purple_colored_skin_affected_area,"Purple-colored skin in the affected area is a bluish-purple discoloration of the skin, often indicating bruising or poor circulation."
purple_colored_skin_lesion,"A purple-colored skin lesion is an abnormal spot or area on the skin that appears purple."
raised,"Raised means elevated above the surrounding surface."
raised_red_blue_lesion,"A raised red-blue lesion is an elevated skin abnormality that appears reddish to bluish in color."
random_outburst_laughter,"Random outburst of laughter is uncontrollable and inappropriate episodes of laughing."
rapid_breathing,"Rapid breathing is an abnormally fast rate of respiration."
recurring_episode_wheezing,"Recurring episodes of wheezing are repeated instances of a high-pitched whistling sound during breathing, usually on exhalation."
red,"Red refers to a reddish discoloration of the skin or other tissues."
red_eye,"A red eye is an eye that appears bloodshot or inflamed."
red_purple_darker_skin,"Red-purple darker skin refers to skin discoloration that transitions from red to a purplish or darker hue."
red_rash,"A red rash is a widespread eruption on the skin characterized by redness."
red_scaly_patch_skin_breast,"A red scaly patch of skin on the breast is an inflamed, flaky, and reddish area on the breast skin."
red_skin,"Red skin is skin that appears flushed or inflamed."
red_spot_white_eye,"A red spot on the white of the eye is a localized area of redness on the sclera, often due to a subconjunctival hemorrhage."
red_without_blister,"Red without blister refers to redness of the skin that is not accompanied by fluid-filled sacs."
redness,"Redness is the condition of being red or having a flushed appearance."
redness_eye,"Redness of the eye is the appearance of red or bloodshot eyes, often due to irritation or inflammation."
repetitive_behavior,"Repetitive behavior refers to actions or movements that are performed over and over again."
restricted_interest,"Restricted interest refers to a narrow range of activities or topics that a person engages with."
right_lower_abdominal_pain,"Right lower abdominal pain is discomfort or aching sensation in the lower right part of the abdomen."
rigidity,"Rigidity is a stiffness or inflexibility, often in muscles or joints."
ringing_ear_heartbeat,"Ringing in the ear synchronous with heartbeat is the perception of a ringing or buzzing sound in the ear that pulsates with the heart."
rough_skin_growth,"A rough skin growth is an abnormal proliferation of skin cells that has a coarse or uneven texture."
runny_nose,"A runny nose is the excessive discharge of mucus from the nose."
scaly_patch_skin,"A scaly patch of skin is an area of skin that is dry, flaky, or sheds in scales."
scratchiness,"Scratchiness is a sensation that prompts a desire to scratch, often in the throat or on the skin."
seizure,"A seizure is a sudden, uncontrolled electrical disturbance in the brain, causing changes in behavior, movements, or consciousness."
sensitivity_smell,"Sensitivity to smell is an increased or heightened perception of odors."
sensitivity_sound,"Sensitivity to sound is an increased or heightened perception of sounds, leading to discomfort or pain."
severe_intellectual_disability,"Severe intellectual disability is a profound limitation in intellectual functioning and adaptive behavior, requiring significant support."
severe_pain,"Severe pain is intense or excruciating discomfort."
severe_pain_lower_back_abdomen,"Severe pain in the lower back and abdomen is intense discomfort felt simultaneously in the lumbar region and the abdominal area."
shakiness,"Shakiness is a sensation of trembling or unsteadiness."
shaking,"Shaking is an involuntary, rhythmic trembling of a body part or the entire body."
sharp_chest_pain,"Sharp chest pain is a sudden, intense, and often localized discomfort in the chest."
shock_like_pain_one_side_face_last_second_minute,"Shock-like pain on one side of the face lasting seconds to minutes is sudden, severe, electric-shock-like pain affecting one half of the face, often characteristic of trigeminal neuralgia."
short_height,"Short height is a stature that is significantly below the average height for one's age and sex."
short_stature,"Short stature is a height that is significantly below the average height for one's age and sex."
shortness_breath,"Shortness of breath is a feeling of difficulty breathing or insufficient air."
sit,"Sit refers to resting on the buttocks with the upper body upright."
skin_blister,"A skin blister is a small pocket of fluid, typically clear, within the upper layers of the skin."
skin_breakdown,"Skin breakdown refers to the damage or deterioration of the skin's integrity."
skin_lesion_generally_pink_color_project_outward,"A skin lesion that is generally pink in color and projects outward is a raised, reddish growth on the skin."
skin_peeling,"Skin peeling is the shedding or flaking of the outer layer of skin."
sleep_problem,"A sleep problem is any difficulty with sleeping, such as insomnia, excessive sleepiness, or disturbed sleep."
sleeping_problem,"A sleeping problem is any difficulty with sleeping, such as insomnia, excessive sleepiness, or disturbed sleep."
slowness_movement,"Slowness of movement is a reduction in the speed of voluntary movements."
small,"Small means of a limited size or quantity."
small_blister_break_open_form_painful_ulcer,"A small blister that breaks open to form a painful ulcer is a minor fluid-filled sac that ruptures and creates a painful open sore."
small_blister_surrounding_swelling,"A small blister with surrounding swelling is a fluid-filled sac on the skin accompanied by puffiness in the surrounding area."
small_face,"A small face is a facial appearance that is unusually diminutive in proportion to the rest of the head or body."
small_head,"A small head is a head size that is significantly smaller than average, also known as microcephaly."
small_jaw,"A small jaw is an underdeveloped or abnormally small lower jaw."
sneezing,"Sneezing is a sudden, forceful expulsion of air from the lungs through the nose and mouth."
social_withdrawal,"Social withdrawal is a tendency to avoid social interaction and prefer solitude."
sometimes_symptom,"Sometimes a symptom indicates that the sign or indication of a condition appears occasionally or intermittently."
sore_arm_leg,"A sore arm or leg is discomfort or aching sensation in the arm or leg."
sore_throat,"A sore throat is discomfort, pain, or scratchiness in the throat."
sore_wrist,"A sore wrist is discomfort or aching sensation in the wrist joint."
stiff_muscle,"A stiff muscle is a muscle that feels tight or rigid and has a limited range of motion."
stiff_neck,"A stiff neck is a limited range of motion and discomfort when moving the head, often due to muscle strain."
stiffness,"Stiffness is a sensation of tightness or rigidity, often in muscles or joints."
stomach_pain,"Stomach pain is discomfort or an aching sensation in the stomach area."
stroke,"A stroke is a sudden interruption of blood supply to a part of the brain, causing damage to brain cells."
stuffy_itchy_nose,"A stuffy, itchy nose is a sensation of nasal blockage accompanied by an irritating sensation in the nose."
stunted_growth,"Stunted growth is impaired growth and development in a child due to malnutrition or recurrent infections."
sudden,"Sudden means happening quickly and unexpectedly."
sudden_loss_muscle_strength,"Sudden loss of muscle strength is an abrupt and complete or partial inability to move a muscle or limb."
sweat,"Sweat is the fluid excreted by sweat glands onto the skin."
swell_pain_near_tumor,"Swelling and pain near a tumor is enlargement and discomfort in the vicinity of a growth."
swelling,"Swelling is the enlargement or puffiness of a body part due to fluid retention or inflammation."
swelling_abdomen,"Swelling of the abdomen is an enlargement or distention of the abdominal area."
swelling_around_eye,"Swelling around the eye is puffiness or enlargement of the tissues surrounding the eye."
swelling_hand_foot,"Swelling of the hand and foot is the enlargement or puffiness of these extremities due to fluid retention."
swollen,"Swollen means enlarged or puffed up due to fluid retention or inflammation."
swollen_hand_foot,"Swollen hand and foot are enlarged or puffy extremities due to fluid retention."
swollen_lymph_node,"A swollen lymph node is an enlarged or palpable lymph gland."
taste_acid,"Taste of acid is a sour or tart sensation in the mouth, often due to reflux."
temporary_fleeting_vision_one_eye,"Temporary fleeting vision in one eye is a brief, transient loss of sight in a single eye."
tender_breast,"Tender breast is discomfort or pain in the breast upon touch or pressure."
testicular_pain,"Testicular pain is discomfort or aching sensation in one or both testicles."
tingling,"Tingling is a pricking, ""pins-and-needles"" sensation."
tingling_hand_foot,"Tingling in the hand and foot is a pricking or ""pins-and-needles"" sensation in the extremities."
tingling_thumb,"Tingling in the thumb is a pricking or ""pins-and-needles"" sensation in the thumb."
tiredness,"Tiredness is a feeling of weariness, low energy, or exhaustion."
tooth_loss,"Tooth loss is the permanent absence of one or more teeth."
tremor,"A tremor is an involuntary, rhythmic shaking or trembling."
triangular_tissue_growth_cornea,"Triangular tissue growth on the cornea is a non-cancerous growth of the conjunctiva that extends onto the clear part of the eye."
trouble_breathing_nose,"Trouble breathing through the nose is difficulty inhaling or exhaling through the nasal passages."
trouble_coordination,"Trouble with coordination is difficulty in moving different parts of the body smoothly and efficiently."
trouble_opening_mouth,"Trouble opening the mouth is difficulty or pain when attempting to fully open the jaw."
trouble_seeing,"Trouble seeing is any impairment or difficulty with sight."
trouble_sensation,"Trouble with sensation refers to impaired or abnormal feelings, such as numbness, tingling, or burning."
trouble_sleeping,"Trouble sleeping is difficulty falling asleep, staying asleep, or getting restful sleep."
trouble_social_interaction,"Trouble with social interaction is difficulty in engaging with others in a socially appropriate and effective manner."
trouble_speaking,"Trouble speaking is difficulty articulating words or expressing oneself verbally."
trouble_swallowing,"Trouble swallowing is a sensation of food or liquid getting stuck in the throat or chest."
trouble_talking,"Trouble talking is difficulty articulating words or expressing oneself verbally."
trouble_walking,"Trouble walking is any impairment or struggle in the ability to walk normally."
typically_none,"Typically none means usually there are no symptoms or observations present."
ulcer,"An ulcer is an open sore on an external or internal surface of the body."
ulcer_around_genitals,"Ulcer around the genitals is an open sore or lesion located in the genital area."
ulceration,"Ulceration is the process of forming an ulcer, or the state of having ulcers."
unable_move,"Unable to move is the complete loss of ability to generate movement in a body part."
unexplained_weight_loss,"Unexplained weight loss is when you lose weight without trying, and without a clear reason."
unintended_weight_loss,"Unintended weight loss is when you lose weight without trying, which can be a sign of illness."
unpleasant_smell_present_breath,"Unpleasant smell present in breath is an offensive odor emanating from the mouth."
upper_abdominal_pain,"Upper abdominal pain is discomfort or an aching sensation in the upper part of the abdomen."
usage_resulting_problem,"Usage resulting in problem refers to the consumption or application of something that leads to adverse effects or difficulties."
vaginal_bleeding,"Vaginal bleeding is any bleeding from the vagina, often outside of normal menstruation."
vaginal_bleeding_without_pain,"Vaginal bleeding without pain is the presence of blood from the vagina that is not accompanied by discomfort."
vaginal_discharge,"Vaginal discharge is any fluid or secretion from the vagina."
variable,"Variable means subject to change or fluctuation."
vary_depending_part_brain_involved,"Varies depending on the part of the brain involved means the specific symptoms differ based on which area of the brain is affected."
varying_degree_muscle_weakness,"Varying degree of muscle weakness refers to a range of muscle strength reduction, from mild to severe."
velvety_skin,"Velvety skin is skin that has a soft, smooth, and velvety texture."
vision_loss,"Vision loss is a partial or complete inability to see."
warm,"Warm refers to a sensation of moderate heat."
wart,"A wart is a small, hard, benign growth on the skin, caused by a virus."
watery_eye,"Watery eye is the excessive production of tears, leading to watery or tearing eyes."
weak_grip,"A weak grip is a reduced ability to grasp or hold objects firmly."
weak_muscle,"A weak muscle is a muscle that has reduced strength or power."
weakness_limb,"Weakness in a limb is a reduced strength or power in an arm or leg."
weakness_numbness_affected_leg,"Weakness and numbness in the affected leg is a reduced strength and loss of sensation in one leg."
webbed_neck,"A webbed neck is a congenital condition where the skin of the neck is abnormally short and wide, extending from the hairline to the shoulders."
weight_gain,"Weight gain is an increase in body weight, often due to an accumulation of body fat."
wet,"Wet refers to being covered or saturated with liquid."
wheezing,"Wheezing is a high-pitched whistling sound heard during breathing, usually on exhalation, due to narrowed airways."
white_patch_vaginal_discharge,"A white patch with vaginal discharge is a whitish area or lesion in the vaginal region accompanied by discharge."
widespread_pain,"Widespread pain is discomfort or aching sensation that affects large areas of the body."
withdrawal_occurring_stopping,"Withdrawal occurring upon stopping refers to the onset of adverse symptoms when the use of a substance or activity is ceased."
worrying,"Worrying is a state of anxiety or uneasiness about real or imagined problems."
yellow_skin,"Yellow skin is a discoloration of the skin that appears yellow, often indicating jaundice."
yellowish_coloration_skin_white_eye,"Yellowish coloration of the skin and whites of the eyes is a yellow discoloration of the skin and sclera, often indicative of jaundice."
yellowish_skin,"Yellowish skin is a discoloration of the skin that appears yellow, often indicating jaundice."
yellowish_skin_crust,"Yellowish skin crust refers to a hardened, yellowish scab or coating on the skin surface."
fatigue,"Fatigue is a feeling of extreme tiredness or exhaustion, often without an obvious cause."
bruising,"Bruising is the discoloration of the skin due to bleeding underneath the surface."
constipation,"Constipation is infrequent or difficult passage of stools."
shivering,"Shivering is an involuntary trembling of the body, typically in response to cold."
depression,"Depression is a persistent state of sadness, loss of interest, and other symptoms that interfere with daily life."
itching,"Itching is an unpleasant sensation on the skin that provokes a desire to scratch."
dehydration,"Dehydration is a state where the body does not have enough fluid to function properly."
coma,"Coma is a deep state of prolonged unconsciousness where a person cannot be awakened."
nausea,"Nausea is a feeling of sickness with an urge to vomit."
irritability,"Irritability is a tendency to be easily annoyed, frustrated, or angered."
dizziness,"Dizziness is a sensation of lightheadedness, unsteadiness, or a feeling of spinning."
headache,"Headache is a pain or discomfort in the head or face."
vomiting,"Vomiting is the forceful expulsion of stomach contents through the mouth."
diarrhoea,"Diarrhoea is the passage of loose, watery stools frequently."
anxiety,"Anxiety is a feeling of worry, nervousness, or unease, typically about an event or something with an uncertain outcome."
